,CLAY CENTER PUBLIC LIBRARY,117 WEST EDGAR STREET,117 WEST EDGAR STREET,CLAY CENTER,68933,CLAY,(402) 762-3861,Southeast Library System,728,728,0,0,1916,1991,No,No,No,No,N/A,"2,652",52,CI,SO,CD1,Y,ME,N,1,"1,430",10/1/2023,9/30/2024,"$72,300",,,,,,,"$72,300","$1,073",$0,$0,$0,"$1,073",$0,,$0 ,$0,$0,$0,Library Book Sale,"$1,541","$1,541","$74,914",$0,$0,$0,$0,$0,Yes,outside of city limits,$15,$15,90,"$34,050","$6,516","$40,566",0,,,,,,,0,,,,"$22,638",$500,"$2,138","$25,276","$2,493",$0,$846,$0,"$4,508","$7,847","$73,689",$0,"15,238","1,100",781,"15,557",212,6,25,193,"1,418",52,45,"1,425",38,1,7,32,"puzzles,toys,etc",102,40,18,124,"16,970","1,198",869,"17,299","School annuals, Old history books",0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,424,"3,791",CT - Annual Count,104,ES - Annual Estimate Based on Typical Week(s),447,CT - Annual Count,"12,119","14,703",135,"26,957",802,203,"1,005",36,4,40,"1,818",518,"2,336",0,0,0,"3,381","14,775","15,428","30,338",No,No,Yes,No,No,No,1,15,95,N/A,N/A,25,31,56,6,13,12,87,76,11,0,87,365,428,793,24,369,272,"1,458","1,245",213,0,"1,458",0,0,0,10,4,22,Yes,191,No,0,No,0,No,,,,,,,,,,,,,No,N/A,N/A,,,,1,,Yes,Follett/Destiny,Yes,8,Covenant Eyes,Glenwood,Fiber Optic,Yes,3553,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,Data 443 on Windows /Deep Freeze on Mac,531,308,Yes -Temporary or shared space for makerspace,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,N/A,5,30,0.75,1,5,0.13,1,1,0.03,0.78,Director,$15.50,8,1,Cheryl Green,Director,11/21/2024
,CLEARWATER PUBLIC LIBRARY,626 MAIN STREET,PO BOX 172,CLEARWATER,68726,ANTELOPE,(402) 485-2034,Three Rivers Library System,324,324,0,0,1972,N/A,Yes,Yes,No,Yes,N/A,1140,50,CI,SO,PL1,Y,ME,N,1,784,10/1/2023,9/30/2024,"$10,500",,,Antelope,"$3,500",,,"$14,000",$848,$0,$0,$0,$848,$0,,$0 ,$0,$0,$0,Chamber of Commerce,"$3,500","$3,500","$18,348",$0,$0,$0,$0,$0,No,0,$0,$0,0,"$13,000","$1,000","$14,000",0,,,,,,,,,,none,$650,$500,$0,"$1,150",$300,$0,$0,$0,"$1,200","$1,500","$16,650","$17,000","4,750",25,150,"4,625",10,0,0,10,354,0,0,354,1,0,0,1,activity learning,42,10,0,52,"5,156",35,150,"5,041","laptops, board games, activity kits, headphones, legos, toys,",0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,193,"2,344",CT - Annual Count,3,CT - Annual Count,58,CT - Annual Count,20,"2,886",93,"2,999",291,12,303,2,0,2,38,20,58,0,0,0,363,351,"2,918","3,362",No,No,Yes,No,No,No,0,0,0,N/A,,50,2,52,0,1,28,81,30,51,0,81,500,6,506,0,54,596,"1,156",156,"1,000",0,"1,156",0,0,0,950,0,0,Yes,112,No,0,No,0,No,,,,,,,,,,,,,Yes,3,No,,,,,,No,Libib,Yes,7,Clean Browser,NNTC,Fiber Optic,Yes,NA,CT - Annual Count,50.1 Mbps - 100.0 Mbps,No,,67,43,Yes - Permanently allocated makerspace,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,0,,,,,,,No,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,,1,25,0.63,0,0,0.00,0,0,0.00,0.63,library director,$13.50,0,0,Chelsea Silbernagel,Library Director,2/20/2025
,COLUMBUS PUBLIC LIBRARY,"2500 14TH STREET, SUITE 2","2500 14TH STREET, SUITE 2",COLUMBUS,68601,PLATTE,402-564-7116,Three Rivers Library System,"24,464","24,464",0,0,2023,2023,Yes,No,No,No,,"42,000",52,CI,SO,PL1,Y,ME,N,1,"3,328",10/1/2023,9/30/2024,"$1,436,462",,,,,,,"$1,436,462","$3,325",$0,$550,$0,"$3,875",$0,,$0 ,$0,"$3,164","$3,000","Cornhusker Power Grant, fines, fees, foundation, misc.","$46,743","$52,907","$1,493,244","$500,000","$1,000","$2,000",$0,"$503,000",Yes,"Resident, employee, student outside LSA",$40,N/A,82,"$764,593","$240,165","$1,004,758",1,1,1,1,1,1,,1,1,1,,"$57,952","$25,163","$8,174","$91,289","$44,445","$13,753","$3,694","$7,442","$327,862","$397,196","$1,493,243","$1,316,798","45,680","3,264","3,432","45,512","2,232",78,96,"2,214","5,929",195,201,"5,923",54,1,4,51,"Projectors,STEM Kits,Video Games",10,61,7,64,"53,851","3,598","3,736","53,713","Headphones, microfilm, electronic video magnifier, external hard drive, floppy disk drive, external CD drive",0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,"17,354","192,592",CT - Annual Count,"8,922",ES - Annual Estimate Based on Typical Week(s),"11,924",CT - Annual Count,"46,826","60,611",664,"108,101","16,973","3,514","20,487","5,133",91,"5,224","22,405","4,990","27,395",482,186,668,"53,774","91,819","69,392","161,875",Yes,Yes,Yes,Yes,Yes,No,667,"1,384",0,Yes,19484,80,34,114,134,70,1,319,311,5,3,319,"2,658","1,486","4,144","1,206",715,45,"6,110","5,797",312,1,"6,110",42,519,519,"1,861","1,489","3,168",Yes,403,Yes,44,Yes,168,Yes – for all items,1,1,1,1,"Magazines, projector, baskets",,,,,,,,Yes,"1,803",No,1,,,1,,No,Sirsi-Dynix,Yes,29,Cisco Firepower,Great Plains,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,230,236,Yes - Permanently allocated makerspace,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,,Yes - Formal training or programs,,,Yes - Formal training or programs,,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,No,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,5,200,5,3,120,3,15,389,10,15,Director,$39.69,398,14,Jeri Kay Hopkins,Director,1/10/2025
,CORDELIA B PRESTON MEMORIAL LIBRARY,510 SOUTH ORLEANS AVENUE,PO BOX 430,ORLEANS,68966,HARLAN,(308) 473-3425,Central Plains Library System,333,333,0,0,1917,N/A,No,No,No,No,N/A,"1,500",52,CI,SO,CD2,Y,ME,N,1,884,7/1/2023,6/30/2024,$0,Orleans Township,"$41,066",,,,,"$41,066",$827,$0,"$1,000",$0,"$1,827",$0,,$0 ,$0,$0,$0,"Copies, Donations, Interest","$2,321","$2,321","$45,214",$0,$0,$0,"$13,127","$13,127",No,,,,,"$21,917","$1,676","$23,593",,,,,,,,1,,1,,"$3,654",$500,$200,"$4,354","$1,480",$848,$981,$0,"$9,901","$13,210","$41,157",$0,"9,317",333,375,"9,275",0,0,0,0,423,9,0,432,5,0,2,3,Cake Pans,53,0,0,53,"9,793",342,375,"9,760",8 headphones to use at the library for the computers,679,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,320,"1,785",ES - Annual Estimate Based on Typical Week(s),50,ES - Annual Estimate Based on Typical Week(s),679,CT - Annual Count,"1,626","1,541",0,"3,167",662,63,725,77,0,77,391,72,463,0,0,0,"1,265","2,756","1,676","4,432",No,No,Yes,No,No,No,0,520,0,N/A,,26,8,34,0,32,1,67,67,0,0,67,265,103,368,0,114,6,488,488,0,0,488,0,0,0,72,0,0,Yes,80,No,,No,,No,,,,,,,,,,,,,Yes,18,No,,,,,,No,Follett,Yes,7,DNSFilter,Pinpoint,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,528,463,Yes - Permanently allocated makerspace,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,No,No,No,No,No,No,No,No,,3,17,0.43,0,0,0.00,0,0,0.00,0.43,Director,$14.75,1,120,Stephanie Branham,Library Director,2/10/2025
,CRAVATH MEMORIAL LIBRARY,243 NORTH MAIN,PO BOX 309,HAY SPRINGS,69347,SHERIDAN,(308) 638-4541,Western Library System,575,575,0,0,1929,1989,Yes,No,No,No,N/A,864,52,CI,SO,PL1,Y,ME,N,1,"1,040",10/1/2023,9/30/2024,"$22,987",,,,,,,"$22,987",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$50,Donations,"$2,420","$2,470","$25,657",$0,$0,$0,$0,$0,No,NA,$0,$0,0,"$12,645","$1,935","$14,580",,,,1,1,1,,1,,,,$587,$0,$0,$587,$0,$0,$0,$0,"$4,070","$4,070","$19,237",$0,"7,713",471,358,"7,826",186,4,3,187,62,232,4,290,3,0,0,3,Cake pans,10,0,0,10,"7,971",707,365,"8,313",N/A,0,No,No,No,No,No,No,No,No,No,No,No,No,266,"1,181",CT - Annual Count,286,CT - Annual Count,309,CT - Annual Count,"2,142",492,8,"2,642",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,142",492,"2,642",No,No,Yes,No,No,No,68,194,0,N/A,0,5,13,18,2,3,35,58,27,31,0,58,94,312,406,30,78,332,846,316,530,0,846,0,0,0,15,7,4,Yes,41,No,0,No,0,No,,,,,NA,,,,,,,,No,N/A,N/A,,1,,1,NA,No,NA,Yes,2,Smart Shield,Great Plains Communications,DSL,Yes,NA,N/A,18.1 Mbps - 24.0 Mbps,Yes,Smart Shield,19,19,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA,,,,,,,Yes - Informal or one on one training,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,N/A,1,20,0.50,0,0,0.00,0,0,0.00,0.50,Librarian,$13.00,3,3,Julie Rasmussen,Librarian,02/12/25
,CRAWFORD PUBLIC LIBRARY,601 SECOND STREET,601 SECOND STREET,CRAWFORD,69339,DAWES,(308) 665-1780,Western Library System,824,824,0,0,1918,1986,Yes,No,No,No,N/A,"2,270",52,CI,SO,PL1,Y,ME,N,1,"1,506",10/1/2023,9/30/2024,"$46,149",,,,,,,"$46,149",$888,$0,$0,$0,$888,$0,,$0 ,$0,$0,$100,"Printing, fines, donations, book sale","$3,046","$3,146","$50,183",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,1,"$35,292","$2,913","$38,205",,,1,1,1,1,,1,,,N/A,$240,$500,$0,$740,"$2,138","$1,049","$1,104",$0,"$4,062","$8,353","$47,298",$0,"10,159",81,96,"10,144",0,0,0,0,877,5,0,882,6,0,1,5,N/A,0,0,0,0,"11,036",86,96,"11,026","Onyx Deskset HD Portable Magnifier (T 40668), puzzle exchange shelf",N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,134","4,999",CT - Annual Count,"2,510",ES - Annual Estimate Based on Typical Week(s),428,CT - Annual Count,"2,035",873,0,"2,908",783,85,868,93,6,99,505,79,584,0,0,0,"1,551","3,416","1,043","4,459",No,Yes,Yes,No,No,No,0,26,0,N/A,N/A,12,12,24,5,17,18,64,60,4,0,64,95,85,180,32,191,544,947,655,292,0,947,3,33,33,5,8,11,Yes,17,Yes,1,Yes,8,Yes – for all items,1,1,,,N/A,,1,1,1,1,N/A,,No,N/A,N/A,,,,,N/A,No,Follett Destiny,Yes,4,DNSFilter,Mobius Communications,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,184,177,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,,,,,,,,,,,,,,,,,,No,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Formal training or programs,No,N/A,1,40,1,0,N/A,0.00,0,N/A,0.00,1,Librarian,17,21,7,Ashtyn Blacksheep,Librarian,01/14/24
,CREIGHTON PUBLIC LIBRARY,701 STATE STREET,PO BOX 158,CREIGHTON,68729,KNOX,(402) 358-5115,Three Rivers Library System,"1,116","1,116",0,0,2000,,Yes,No,No,No,,"5,000",52,CI,SO,PL1,Y,ME,N,1,"1,820",10/1/2023,9/30/2024,"$139,778",,,Knox County,"$5,000",,,"$144,778",$986,$0,$0,$0,$986,$0,,$0 ,$0,$0,$0,,,$0,"$145,764",$0,$0,$0,$0,$0,No,,,,,"$54,443","$45,228","$99,671",1,1,1,1,1,1,1,1,1,1,,"$7,446",$500,$190,"$8,136",$0,$0,"$2,243","$2,076","$23,756","$28,075","$135,882",$0,"11,156",511,"1,843","9,824",214,0,32,182,411,12,223,200,6,0,2,4,Games and Puzzles,162,0,34,128,"11,943",523,"2,132","10,334",n/a,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,423,"4,783",ES - Annual Estimate Based on Typical Week(s),"2,375",ES - Annual Estimate Based on Typical Week(s),"1,923",ES - Annual Estimate Based on Typical Week(s),"4,549","5,500",127,"10,176",885,146,"1,031",187,13,200,"1,154",130,"1,284",0,0,0,"2,515","6,775","5,789","12,691",No,No,Yes,No,No,No,17,21,0,N/A,,3,6,9,8,4,5,26,26,0,0,26,17,19,36,9,11,13,69,69,0,0,69,0,0,0,1,2,4,Yes,17,No,,No,,No,,,,,,,,,,,,,Yes,99,Yes,,1,,1,,No,Spectrum/Book Systems,Yes,6,DNS Filter,Great Plains Communications,Fiber Optic,Yes,0,N/A,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,303,289,Yes - Permanently allocated makerspace,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,,3,65,2,0,0,0.00,1,2,0.05,2,Library Director,$20.84,0,0,Lisa Macke,Library Director,12/17/2024
,CRETE PUBLIC LIBRARY,1515 FOREST AVENUE,1515 FOREST AVENUE,CRETE,68333,SALINE,(402) 826-3809,Southeast Library System,"7,488","7,488",0,0,2020,2020,Yes,No,No,No,NA,"15,000",52,CI,SO,PL1,Y,ME,N,1,"2,782",10/1/2023,9/30/2024,"$610,000",,,,,,,"$610,000","$1,842",$0,$0,$0,"$1,842",$0,,$0 ,$0,$768,$0,Friends of the Crete Library,"$30,000","$30,768","$642,610",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$356,841","$123,496","$480,337",1,1,1,1,1,1,1,1,1,1,,"$29,300",$750,"$3,430","$33,480","$34,550","$2,377","$2,544","$2,000","$60,294","$101,765","$615,582",$0,"29,629","2,240","2,720","29,149","1,263",25,411,877,"3,035",86,957,"2,164",28,0,12,16,"Cake Pans, Baskets, Laptops",92,55,71,76,"34,019","2,406","4,159","32,266","headphones, phone chargers",0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,"3,988","58,721",CT - Annual Count,"9,650",ES - Annual Estimate Based on Typical Week(s),"1,387",CT - Annual Count,"19,336","45,387",513,"65,236","3,399",615,"4,014",915,19,934,"4,754",952,"5,706",0,0,0,"10,654","28,404","46,973","75,890",Yes,No,Yes,No,No,No,303,215,0,Yes,753,71,37,108,65,106,17,296,204,92,0,296,"1,266","2,238","3,504",594,"1,253","1,374","6,725","3,763","2,962",0,"6,725",0,0,0,"8,230",500,20,Yes,319,Yes,40,Yes,39,Yes – for some material types,,1,,,,,,,,,,1,Yes,"1,043",No,1,,,1,,Yes,Biblionix Apollo,Yes,4,None,Windstream,DSL,Yes,5500,ES - Annual Estimate Based on Typical Week(s),24.1 Mbps - 50.0 Mbps,Yes,Deep Freeze,761,51,Yes - Permanently allocated makerspace,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,No,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,No,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,0,5,200,5,2,80,2,4,30,0.74,6,Director,$36.01,100,5,Jessica Wilkinson,Director,11/13/2024
,CULBERTSON PUBLIC LIBRARY,612 WYOMING STREET,PO BOX 327,CULBERTSON,69024,HITCHCOCK,(308) 278-2135,Western Library System,517,517,0,0,2016,2016,Yes,No,No,No,NA,"2,800",52,CI,SO,PL1,Y,ME,N,1,"1,040",10/1/2023,9/30/2024,"$29,610",,,Hitchcock,$100,,,"$29,710",$845,0,$0,$0,$845,0,,$0 ,$0,$0,$0,"Fines, copies, and donations",$251,$251,"$30,806",$0,$0,$0,$0,$0,Yes,Non-resident,$5,$5,2,"$17,924","$1,373","$19,297",,,,,,,,,1,0,n/a,"$1,075",$500,$0,"$1,575",$289,$0,"$1,337",$0,"$7,262","$8,888","$29,760",$0,"10,039",90,233,"9,896",99,0,1,98,"1,067",13,2,"1,078",1,0,0,1,N/A,0,0,0,0,"11,205",103,236,"11,072",,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,358,"2,045",CT - Annual Count,109,ES - Annual Estimate Based on Typical Week(s),31,CT - Annual Count,747,655,0,"1,402",151,16,167,50,0,50,171,32,203,0,0,0,420,"1,119",703,"1,822",No,No,Yes,No,No,No,0,81,0,N/A,0,0,54,54,0,0,8,62,61,1,0,62,0,836,836,0,0,39,875,860,15,0,875,0,0,0,0,0,8,Yes,39,No,0,No,0,Yes – for some patrons,1,1,1,1,,,1,1,1,,,,No,,,,,,1,,No,Library Thing,Yes,9,Deep Freeze,Great Plains Comm,DSL,Yes,N/A,N/A,24.1 Mbps - 50.0 Mbps,Yes,Deep Freeze,25,25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Legos,,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,N/A,2,25,0.63,0,0,0.00,1,2,0.04,0.67,Library Director,$15.50,10,2,Deborah Dack,Director,2/6/2025
,DAKOTA CITY PUBLIC LIBRARY,1710 BROADWAY,P O BOX 482,DAKOTA CITY,68731,DAKOTA,(402) 987-3778,Three Rivers Library System,"2,047","2,047",0,0,1929,1929,Yes,No,No,No,NA,"2,844",52,CI,SO,PL1,Y,ME,N,1,"1,508",10/1/2023,9/30/2024,"$51,410",,,Dakota,"$3,710",in lieu of taxes,"$2,535","$57,655","$1,104",$600,$0,$0,"$1,704",$0,,$0 ,$0,$0,$0,,,$0,"$59,359",$0,$0,$0,$0,$0,Yes,out of county,$10.00,$15.00,2,"$24,846","$1,902","$26,748",0,0,0,0,1,0,0,1,1,1,funeral leave/holidays,"$7,361",$500,$175,"$8,036",$0,$0,$0,$115,"$15,106","$15,221","$50,005",$0,"10,832",519,308,"11,043",118,0,0,118,"1,302",42,02,"1,342",13,0,0,13,none,0,0,0,0,"12,252",561,310,"12,503",none,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,1458,2949,CT - Annual Count,924,ES - Annual Estimate Based on Typical Week(s),127,CT - Annual Count,"1,165",918,0,"2,083","1,067",189,"1,256",250,2,252,838,165,"1,003",0,0,0,"2,511","3,320","1,274","4,594",No,No,Yes,No,No,No,5,136,57,N/A,,2,15,17,4,28,3,52,49,3,0,52,47,404,451,62,156,325,994,669,325,0,994,0,0,0,21,0,0,Yes,35,No,0,No,0,No,0,0,0,0,replacement cost of lost items,0,0,0,0,0,Late ILL fees charged by other libraries,1,Yes,2,No,0,1,0,1,Little Free Library/Book Walk,Yes,Follett,Yes,6,n/a,Sparklight,Cable,Yes,NA,N/A,50.1 Mbps - 100.0 Mbps,No,,164,114,No,,,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,No,No,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,No,No,No,No,No,,2,35,0.88,0,0,0.00,0,0,0.00,0.88,Library Director,$15.65,2,1,Kathy Schable,Director,1/10/25
,DALTON PUBLIC LIBRARY,306 MAIN STREET,P.O. BOX 353,DALTON,69131,CHEYENNE,308-377-2413,Western Library System,289,289,0,0,N/A,N/A,No,No,No,No,N/A,600,52,CI,SO,PL1,Y,ME,N,1,520,10/1/2023,9/30/2024,"$6,173",,,,,,,"$6,173",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$6,373",$0,$0,$0,$0,$0,No,,,,,"$4,530",$366,"$4,896",,,,,,,,,,,,$400,$0,$0,$400,$0,$0,$0,$0,$20,$20,"$5,316",$0,"1,062",15,30,"1,047",60,12,0,72,80,4,0,84,1,0,0,1,0,0,0,0,0,"1,202",31,30,"1,203",N/A,,No,No,No,No,No,No,No,No,No,No,No,No,162,76,ES - Annual Estimate Based on Typical Week(s),6,ES - Annual Estimate Based on Typical Week(s),2,ES - Annual Estimate Based on Typical Week(s),25,16,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,41,No,No,Yes,No,No,No,0,0,0,N/A,N?A,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,47,47,0,47,0,47,0,0,0,0,0,0,No,N/A,No,N/A,No,N/A,No,,,,,N/A,,,,,,N/A,,No,N/A,N/A,,,,,0,No,N/A,Yes,1,N/A,Dalton.net,Cable,No,N/A,ES - Annual Estimate Based on Typical Week(s),3.1 Mbps - 6.0 Mbps,No,N/A,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,Magnifier Equipment,,,,,,,,,,,,,,,No,,,No,No,No,No,No,No,No,Yes - Informal or one on one training,No,0,1,10,0.25,0,0,0.00,0,0,0.00,0.25,Director,$10.50,0,0,Charles Powell,Director,1/23/2025
,DAVENPORT PUBLIC LIBRARY,109 NORTH MAPLE AVENUE,PO BOX 236,DAVENPORT,68335,THAYER,(402) 364-2147,Southeast Library System,390,390,0,0,1928,2023,Yes,No,No,No,n/a,2816,52,CI,SO,PL1,Y,ME,N,1,510,7/1/2023,6/30/2024,"$14,400",,,,,,,"$14,400",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,Donations,$582,$582,"$15,182",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$5,040","$1,739","$6,779",,,,,0,,,,,,,$357,$500,$152,"$1,009",$0,$0,$0,$0,"$8,624","$8,624","$16,412",$0,"14,493",218,328,"14,383",28,0,0,28,639,20,2,657,3,0,0,3,stem kits,25,0,0,25,"15,185",238,330,"15,093",None,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,294,714,CT - Annual Count,13,ES - Annual Estimate Based on Typical Week(s),26,ES - Annual Estimate Based on Typical Week(s),448,296,7,751,493,397,890,41,9,50,"1,102",370,"1,472",0,0,0,"2,412","2,084","1,072","3,163",No,No,Yes,No,No,No,0,72,0,N/A,N/A,1,4,5,0,0,0,5,5,0,0,5,12,49,61,0,0,0,61,61,0,0,61,0,0,0,0,0,0,Yes,39,No,0,No,0,No,,,,,,,,,,,,,Yes,3,Yes,,1,,1,,Yes,None,Yes,2,openDNS,Windstream,DSL,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,N/A,126,101,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,0,,,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,No,No,0,2,10,0.25,0,0,0.00,0,0,0.00,0.25,library director,$13.50,5,5,Sharon Littrel,Library director,1/27/25
,DAYKIN PUBLIC LIBRARY,201 MARY AVENUE,PO BOX 215,DAYKIN,68338,JEFFERSON,(402) 446-7295,Southeast Library System,152,152,0,0,1985,,,,,,,"1,230",,CI,SO,PL1,Y,ME,N,1,0,10/1/2023,9/30/2024,,,,,,,,$0,$200,,,,$200,,,$0 ,$0,,,,,$0,$200,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,"5,000",,,"5,000",0,,,0,0,,,0,0,,,0,,0,,,0,"5,000",0,0,"5,000",,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
,DORCHESTER PUBLIC LIBRARY,6TH & WASHINGTON,PO BOX 268,DORCHESTER,68343,SALINE,N/A,Southeast Library System,610,610,0,0,,,,,,,,NA,,CI,SO,PL1,Y,ME,N,1,0,10/1/2023,9/30/2024,,,,,,,,$0,,,,,$0,,,$0 ,$0,,,,,$0,$0,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,0,0,0,,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
